NazwaInstytucji,SymbolLiterowy
Orzesko-Knurowski Bank Spółdzielczy  z siedzibą w Knurowie,BS8454
Bank Spółdzielczy w Żorach,BS8456
Bank Spółdzielczy w Gliwicach,BS8457
Bank Spółdzielczy w Tarnowskich Górach,BS8463
Bank Spółdzielczy w Tworogu,BS8466
Bank Spółdzielczy w Świerklańcu,BS8467
Bank Spółdzielczy w Gorzycach,BS8469
Bank Spółdzielczy w Jastrzębiu Zdroju,BS8470
Bank Spółdzielczy w Krzyżanowicach,BS8474
Bank Spółdzielczy w Raciborzu,BS8475
Bank Spółdzielczy w Busku-Zdroju,BS8480
Bank Spółdzielczy w Chmielniku,BS8483
Bank Spółdzielczy Daleszyce-Górno,BS8485
Świętokrzyski Bank Spółdzielczy w Jędrzejowie,BS8490
Bank Spółdzielczy w Kielcach,BS8493
Bank Spółdzielczy w Końskich,BS8494
Bank Spółdzielczy w Łopusznie,BS8499
Bank Spółdzielczy w Ostrowcu Świętokrzyskim,BS8507
Bank Spółdzielczy w Pińczowie,BS8509
Bank Spółdzielczy w Samsonowie,BS8512
Nadwiślański Bank Spółdzielczy w Solcu-Zdroju,BS8517
Bank Spółdzielczy w Starachowicach,BS8518
Bank Spółdzielczy w Stopnicy,BS8519
Bank Spółdzielczy w Suchedniowie,BS8520
Bank Spółdzielczy w Szydłowie,BS8521
Bank Spółdzielczy w Wąchocku,BS8523
Bank Spółdzielczy we Włoszczowie,BS8525
Bank Spółdzielczy w Wodzisławiu,BS8526
Bank Spółdzielczy w Koninie,BS8530
Bank Spółdzielczy w Ślesinie,BS8534
Bank Spółdzielczy w Witkowie,BS8538
Bank Spółdzielczy w Słupcy,BS8542
Ludowy Bank Spółdzielczy w Strzałkowie,BS8543
Bank Spółdzielczy w Zagórowie,BS8544
Bank Spółdzielczy w Kłodawie,BS8545
Rejonowy Bank Spółdzielczy w Malanowie,BS8557
Bank Spółdzielczy w Wierzbinku,BS8558
Bank Spółdzielczy w Białogardzie,BS8562
Bałtycki Bank Spółdzielczy,BS8566
Bank Spółdzielczy w Kaliszu Pomorskim,BS8570
Bank Spółdzielczy w Połczynie Zdroju,BS8577
Pomorski Bank Spółdzielczy w Świdwinie,BS8581
Bank Spółdzielczy Rzemiosła w Krakowie,BSRKRA
Krakowski Bank Spółdzielczy,KBS
Bank Spółdzielczy w Proszowicach,BS8597
Bank Spółdzielczy w Skawinie,BS8600
Bank Spółdzielczy w Dobczycach,BS8602
Bank Spółdzielczy w Krzeszowicach,BS8612
Bank Spółdzielczy w Słomnikach,BS8614
Małopolski Bank Spółdzielczy,BS8619
Bieszczadzki Bank Spółdzielczy w Ustrzykach Dolnych,BS8621
Bank Spółdzielczy w Kołaczycach,BS8626
Bank Spółdzielczy w Bieczu,BS8627
Bank Spółdzielczy w Lipinkach,BS8628
Bank Spółdzielczy w Rymanowie,BS8636
Podkarpacki Bank Spółdzielczy,BS8642
Bank Spółdzielczy w Chojnowie,BS8644
Bank Spółdzielczy w Głogowie,BS8646
Bank Spółdzielczy w Jaworze,BS8647
Bank Spółdzielczy w Legnicy,BS8649
Bank Spółdzielczy w Przemkowie,BS8653
Powiatowy Bank Spółdzielczy w Złotoryi,BS8658
Bank Spółdzielczy we Włoszakowicach,BS8661
Bank Spółdzielczy w Kościanie,BS8666
Bank Spółdzielczy w Śmiglu,BS8667
Bank Spółdzielczy we Wschowie,BS8669
Bank Spółdzielczy w Jutrosinie,BS8674
Powiatowy Bank Spółdzielczy w Gostyniu,BS8678
Bank Spółdzielczy w Poniecu,BS8682
Rejonowy Bank Spółdzielczy w Bychawie,BS8685
Bank Spółdzielczy w Niedrzwicy Dużej,BS8687
Spółdzielczy Bank Powiatowy w Piaskach,BS8689
Bank Spółdzielczy w Łęcznej,BS8693
Bank Spółdzielczy w Niemcach,BS8702
Bank Spółdzielczy w Lubartowie,BS8707
Bank Spółdzielczy Ziemi Kraśnickiej  w Kraśniku,BS8717
Bank Spółdzielczy w Rykach,BS8724
Bank Spółdzielczy w Józefowie nad Wisłą,BS8729
Bank Spółdzielczy w Kazimierzu Dolnym,BS8731
Bank Spółdzielczy w Nałęczowie,BS8733
Powiatowy Bank Spółdzielczy w Opolu  Lubelskim,BS8734
Bank Spółdzielczy w Poniatowej,BS8735
Lubelski Bank Spółdzielczy,BS8741
Bank Spółdzielczy w Czyżewie,BS8747
Bank Spółdzielczy w Ciechanowcu,BS8749
Bank Spółdzielczy w Jedwabnem,BS8752
Bank Spółdzielczy w Kolnie,BS8754
Bank Spółdzielczy w Łomży,BS8757
Hexa Bank Spółdzielczy,BS8762
Bank Spółdzielczy w Sokołach,BS8766
Bank Spółdzielczy w Szczuczynie,BS8768
Spółdzielczy Bank Rozwoju,BS8769
Bank Spółdzielczy w Szumowie,BS8770
Bank Spółdzielczy w Wysokiem Mazowieckiem,BS8774
Bank Spółdzielczy w Zambrowie,BS8775
Bank Spółdzielczy w Aleksandrowie Łódzkim,BS8780
Bank Spółdzielczy w Andrespolu,BS8781
Bank Spółdzielczy w Zgierzu,BS8783
Łódzki Bank Spółdzielczy,BS8784
Bank Spółdzielczy w Ozorkowie,BS8786
Bank Spółdzielczy w Głownie,BS8787
Bank Spółdzielczy Ziem Górskich KARPATIA,BS8791
Bank Spółdzielczy w Czarnym Dunajcu,BS8792
Bank Spółdzielczy w Gorlicach,BS8795
Bank Spółdzielczy w Grybowie,BS8797
Bank Spółdzielczy w Jabłonce,BS8798
Bank Spółdzielczy w Jordanowie,BS8799
Bank Spółdzielczy w Limanowej,BS8804
Łącki Bank Spółdzielczy,BS8805
Bank Spółdzielczy w Mszanie Dolnej,BS8808
Bank Spółdzielczy w Nowym Sączu,BS8811
Bank Spółdzielczy w Nowym Targu,BS8812
Bank Spółdzielczy w Piwnicznej - Zdroju,BS8813
Bank Spółdzielczy w Podegrodziu,BS8814
Bank Spółdzielczy w Rabie Wyżnej,BS8815
Bank Spółdzielczy w Starym Sączu,BS8816
Pieniński Bank Spółdzielczy,BS8817
Bank Spółdzielczy w Łososinie Dolnej,BS8818
Podhalański Bank Spółdzielczy w Zakopanem,BS8821
Bank Spółdzielczy w Olsztynku,BS8823
Bank Spółdzielczy w Iławie,BS8831
Bank Spółdzielczy w Lubawie,BS8832
Bank Spółdzielczy w Nidzicy,BS8834
Bank Spółdzielczy w Szczytnie,BS8838
Morąsko-Zalewski Bank Spółdzielczy,BS8843
Bank Spółdzielczy w Mrągowie,BS8848
Bank Spółdzielczy w Reszlu,BS8851
Bank Spółdzielczy w Bartoszycach,BS8855
Warmiński Bank Spółdzielczy,BS8857
Bank Spółdzielczy w Brzegu,BS8863
Bank Spółdzielczy w Baborowie,BS8866
Bank Spółdzielczy w Głubczycach,BS8868
Bank Spółdzielczy Grodków-Łosiów z siedzibą w Grodkowie,BS8870
Bank Spółdzielczy w Otmuchowie,BS8872
Bank Spółdzielczy w Wołczynie,BS8876
Powiatowy Bank Spółdzielczy w Kędzierzynie-Koźlu,BS8882
Bank Spółdzielczy w Gogolinie,BS8883
Bank Spółdzielczy w Krapkowicach,BS8884
Bank Spółdzielczy w Namysłowie,BS8890
Bank Spółdzielczy w Dobrzeniu Wielkim,BS8895
Bank Spółdzielczy w Łubnianach,BS8897
Bank Spółdzielczy Bank Rolników w Opolu,BS8898
Bank Spółdzielczy w Białej,BS8903
Bank Spółdzielczy w Głogówku,BS8904
Bank Spółdzielczy w Prudniku,BS8905
Bank Spółdzielczy w Leśnicy,BS8907
Bank Spółdzielczy w Zawadzkiem,BS8909
Limes Bank Spółdzielczy,BS8913
Bank Spółdzielczy w Goworowie,BS8915
